School,AA,Code,Codename,1st,2nd,3rd,4th,5th,6th,7th,8th+,
Yu,n,IMMC,Chinese Immersion,210,99,72,54,48,31,37,462,
Alamo,y,GEN,General,92,84,61,49,52,46,37,639,
Alvarado,y,GEN,General,48,82,58,58,60,65,61,512,
Alvarao,n,IMMS,Spanish Immersion,130,78,65,52,44,34,27,284,
Lawton,n,GEN,General,144,130,109,96,86,73,67,650,
Argonne,y,GEN,General,84,74,74,64,63,50,45,626,
Carmichael,n,GEN,General,26,9,5,4,1,3,1,134,
Carmichael,n,FIL,Filipino,9,2,0,0,0,0,0,23,
Bryant,y,GEN,General,10,9,5,7,4,2,3,109,
Bryant,n,SPN,Bilingual Spanish,25,17,18,5,5,2,0,7,
Buena Vista/Mann,n,IMMS,Spanish Immersion,117,72,58,30,26,18,17,263,
Carver,y,GEN,General,8,6,3,3,3,0,1,90,
Chavez,y,GEN,General,9,17,3,7,7,6,2,110,
Chavez,n,SPN,Bilingual Spanish,26,25,21,12,5,2,1,10,
Yick Wo,y,GEN,General,35,19,24,18,14,9,12,349,
Chin,y,GEN,General,22,46,20,40,21,20,11,338,
Chin,n,CHN,Bilingual Chinese,44,26,30,9,14,4,1,12,
West Portal,y,GEN,General,65,109,123,100,105,86,107,673,
West Portal,n,IMMC,Chinese Immersion,58,102,76,52,34,34,21,294,
Chinese Immersion,n,IMMC,Chinese Immersion,80,61,52,34,19,27,17,354,
Clarendon,y,GEN,General,176,203,205,173,165,153,103,446,
Clarendon,n,JPN,Japanese,67,111,82,58,51,48,36,236,
Webster,y,GEN,General,10,22,6,7,6,3,6,175,
Webster,n,IMMS,Spanish Immersion,36,19,22,18,13,9,13,152,
Visitacion Valley,y,GEN,General,23,10,8,10,2,2,2,106,
Visitacion Valley,n,CHN,Bilingual Chinese,13,4,7,0,1,2,0,4,
Cleveland,y,GEN,General,11,18,7,13,6,2,3,105,
Cleveland,n,SPN,Bilingual Spanish,21,10,10,3,6,0,1,6,
Ulloa,y,GEN,General,46,64,56,58,61,53,45,583,
Ulloa,n,CHN,Bilingual Chinese,49,23,39,22,10,15,17,27,
Tenderloin,y,GEN,General,29,11,14,7,3,2,0,90,
Cobb,y,GEN,General,7,3,3,2,4,3,4,137,
Taylor,y,GEN,General,49,59,13,23,14,6,5,261,
Taylor,n,CHN,Bilingual Chinese,58,9,16,11,6,8,4,16,
Taylor,n,SPN,Bilingual Spanish,26,8,5,1,0,1,0,8,
Drew,y,GEN,General,19,5,6,4,1,2,2,93,
El Dorado,y,GEN,General,5,8,7,0,1,0,4,80,
Fairmount,n,IMMS,Spanish Immersion,75,79,51,39,26,18,16,280,
Feinstein,y,GEN,General,86,44,48,59,49,49,67,624,
Sutro,y,GEN,General,137,124,109,75,81,55,57,617,
Flynn,y,GEN,General,8,17,10,8,5,8,3,164,
Flynn,n,IMMS,Spanish Immersion,24,21,37,31,17,14,5,155,
Sunset,y,GEN,General,137,124,109,75,81,55,57,617,
Garfield,y,GEN,General,5,7,7,18,8,5,8,272,
Garfield,n,IMMC,Chinese Immersion,7,7,11,12,5,6,7,126,
Sunnyside,y,GEN,General,115,54,63,50,57,28,34,427,
Glen Park,y,GEN,General,33,37,36,26,18,19,23,346,
Glen Park,n,SPN,Bilingual Spanish,12,7,8,8,8,2,0,10,
Stevenson,y,GEN,General,36,46,55,65,60,48,40,586,
Stevenson,n,CHN,Bilingual Chinese,0,0,0,0,1,0,0,0,
Grattan,y,GEN,General,188,150,133,153,144,125,113,442,
King,y,GEN,General,4,5,7,5,1,1,1,184,
King,n,IMMM,Chinese Immersion,36,27,14,10,8,2,4,198,
Guadalupe,y,GEN,General,19,17,13,7,2,5,2,109,
Guadalupe,n,SPN,Bilingual Spanish,16,15,3,10,4,1,1,6,
Spring Valley,n,GEN,General,11,24,14,7,6,16,6,219,
Spring Valley,y,CHN,Bilingual Chinese,10,2,7,6,6,1,2,10,
Spring Valley,n,SPN,Bilingual Spanish,16,6,0,1,4,0,2,6,
Harte,n,GEN,General,6,11,5,2,0,0,0,83,
Harte,y,IMMS,Spanish Immersion,7,3,2,4,0,1,0,63,
Sloat,y,GEN,General,71,53,69,48,44,50,45,627,
Hillcrest,y,GEN,General,18,15,12,19,9,5,6,130,
Hillcrest,n,CHN,Bilingual Chinese,4,6,11,2,4,2,1,4,
Hillcrest,n,SPN,Bilingual Spanish,10,11,16,2,3,0,1,7,
Sherman,y,GEN,General,116,78,56,46,34,29,45,488,
Sheridan,y,GEN,General,14,13,2,2,0,2,1,143,
Jefferson,y,GEN,General,66,54,68,66,82,80,70,686,
Serra,y,GEN,General,3,10,4,4,2,4,3,140,
Serra,n,SPN,Bilingual Spanish,49,21,5,11,5,1,0,0,6
Key,y,GEN,General,67,36,47,38,35,34,29,547,
Sanchez,y,GEN,General,9,12,4,5,4,5,5,145,
Sanchez,n,SPN,Bilingual Spanish,13,9,10,8,8,4,1,5,
Lafayette,y,GEN,General,91,58,61,40,46,39,45,571,
Lakeshore,y,GEN,General,31,28,20,27,21,21,22,340,
SF Community,n,GEN,General,20,16,18,14,11,15,10,234,
Lau,y,GEN,General,15,35,14,40,10,11,7,225,
Lau,n,CHN,Bilingual Chinese,61,18,27,3,7,4,2,12,
Rooftop,n,GEN,General,180,121,129,132,130,127,110,503,
Revere,n,GEN,General,7,5,2,3,2,3,2,156,
Revere,n,IMMS,Spanish Immersion,15,15,6,10,11,4,6,141,
Lilienthal,n,GEN,General,150,146,98,77,53,55,58,474,
Lilienthal,n,IMMK,Korean,41,23,17,12,16,7,12,226,
Longfellow,y,GEN,General,21,17,12,8,4,2,2,141,
Longfellow,n,FIL,Filipino,7,1,1,0,0,0,0,20,
Redding,y,GEN,General,30,25,16,10,5,6,4,166,
Malcolm X,y,GEN,General,4,4,0,1,2,0,0,73,
Peabody,y,GEN,General,130,117,104,95,84,60,50,535,
Marshall,n,IMMS,Spanish Immersion,46,30,30,18,18,12,9,203,
Parks,y,GEN,General,19,18,14,9,12,10,5,274,
Parks,n,JPN,Japanese,39,13,11,6,4,11,4,191,
