Census Tract,Attendance Area,CTIP,CTIP,Population (5-9),Total population,Hispanic or Latino,One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Estimated Kindergarten Fraction,Kindergartners,Hispanic or Latino,One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races
Census Tract 101,Garfield 0.5/Yick Wo 0.5,2,,110,3739,286,3601,1858,256,7,1345,23,112,138,0.005883926183,22,1.682802888,21.18801819,10.93233485,1.506285103,0.04118748328,7.913880717,0.1353303022,0.6589997325,0.8119818133
Census Tract 102,Yick Wo,2,,68,4143,211,4005,3518,28,6,419,6,28,138,0.003282645426,13.6,0.6926381849,13.14699493,11.54834661,0.09191407193,0.01969587256,1.375428434,0.01969587256,0.09191407193,0.4530050688
Census Tract 103,Yick Wo,2,,75,3852,198,3739,2460,36,5,1176,4,58,113,0.003894080997,15,0.7710280374,14.55996885,9.579439252,0.1401869159,0.01947040498,4.579439252,0.01557632399,0.2258566978,0.4400311526
Census Tract 104,Chin 0.5 / Garfield 0.5,2,,98,4545,239,4396,3014,46,4,1270,7,55,149,0.004312431243,19.6,1.030671067,18.95744774,12.99766777,0.1983718372,0.01724972497,5.476787679,0.0301870187,0.2371837184,0.6425522552
Census Tract 105,Chin,2,,45,2685,155,2625,1756,46,3,778,2,40,60,0.003351955307,9,0.5195530726,8.798882682,5.88603352,0.1541899441,0.01005586592,2.607821229,0.006703910615,0.1340782123,0.2011173184
Census Tract 106,Chin,2,,97,3894,254,3775,1437,59,6,2169,1,103,119,0.004982023626,19.4,1.265434001,18.80713919,7.159167951,0.2939393939,0.02989214176,10.80600924,0.004982023626,0.5131484335,0.5928608115
Census Tract 107,Parker,2,,160,5592,167,5500,908,85,12,4440,2,53,92,0.005722460658,32,0.9556509299,31.47353362,5.195994278,0.4864091559,0.0686695279,25.40772532,0.01144492132,0.3032904149,0.5264663805
Census Tract 108,Spring Valley,2,,102,4578,166,4463,2240,43,5,2131,2,42,115,0.004456094364,20.4,0.7397116645,19.88754915,9.981651376,0.1916120577,0.02228047182,9.49593709,0.008912188729,0.1871559633,0.5124508519
Census Tract 109,Yick Wo,2,,43,4320,266,4184,3096,41,6,966,1,74,136,0.001990740741,8.6,0.529537037,8.329259259,6.163333333,0.08162037037,0.01194444444,1.923055556,0.001990740741,0.1473148148,0.2707407407
Census Tract 110,Spring Valley,2,,69,4827,226,4673,2259,78,6,2252,4,74,154,0.002858918583,13.8,0.6461155998,13.35972654,6.458297079,0.2229956495,0.0171535115,6.438284649,0.01143567433,0.2115599751,0.4402734618
Census Tract 111,Redding 0.5/Spring Valley 0.5,2,,59,5164,500,4967,2721,133,18,1928,10,157,197,0.002285050349,11.8,1.142525174,11.34984508,6.217621998,0.3039116964,0.04113090627,4.405577072,0.02285050349,0.3587529047,0.4501549187
Census Tract 112,Lau 0.5/Spring Valley 0.5,2,,54,3286,188,3202,1929,52,3,1150,6,62,84,0.003286670724,10.8,0.6178940962,10.52391966,6.339987827,0.1709068777,0.009860012173,3.779671333,0.01972002435,0.2037735849,0.2760803408
Census Tract 113,Parker 0.5,2,,85,3143,74,3099,529,25,0,2514,2,29,44,0.005408845052,17,0.4002545339,16.76201082,2.861279033,0.1352211263,0,13.59783646,0.0108176901,0.1568565065,0.2379891823
Census Tract 117,Chin 0.7/Lau 0.3,2,,31,1783,171,1724,691,111,11,834,3,74,59,0.003477285474,6.2,0.594615816,5.994840157,2.402804262,0.3859786876,0.03825014021,2.900056085,0.01043185642,0.2573191251,0.205159843
Census Tract 118,Lau,2,,46,1500,38,1481,124,12,1,1327,0,17,19,0.006133333333,9.2,0.2330666667,9.083466667,0.7605333333,0.0736,0.006133333333,8.138933333,0,0.1042666667,0.1165333333
Census Tract 119.01,Redding,2,,15,2408,220,2292,1481,95,16,634,7,59,116,0.001245847176,3,0.2740863787,2.855481728,1.845099668,0.1183554817,0.01993355482,0.7898671096,0.008720930233,0.07350498339,0.1445182724
Census Tract 119.02,Lau,2,,39,2598,317,2485,1590,58,10,708,13,106,113,0.003002309469,7.8,0.9517321016,7.46073903,4.773672055,0.1741339492,0.03002309469,2.125635104,0.03903002309,0.3182448037,0.33926097
Census Tract 120,Redding,2,,53,3833,578,3584,1992,175,29,1108,8,272,249,0.002765457866,10.6,1.598434646,9.911400991,5.508792069,0.4839551265,0.08019827811,3.064127315,0.02212366293,0.7522045395,0.6885990086
Census Tract 121,Lau,2,,32,3833,497,3609,2171,190,42,1018,4,184,224,0.00166971041,6.4,0.8298460736,6.025984868,3.624941299,0.3172449778,0.0701278372,1.699765197,0.006678841638,0.3072267154,0.3740151318
Census Tract 122.01,Lau 0.5/Tenderloin 0.5,1,1,114,4567,1276,4290,2190,259,41,1169,10,621,277,0.004992336326,22.8,6.370221152,21.41712284,10.93321655,1.293015108,0.2046857894,5.836041165,0.04992336326,3.100240858,1.382877162
Census Tract 122.02,Tenderloin,2,,48,2986,550,2810,1306,394,33,840,10,227,176,0.003215003349,9.6,1.768251842,9.034159411,4.198794374,1.266711319,0.1060951105,2.700602813,0.03215003349,0.7298057602,0.5658405894
Census Tract 123.01,Redding,2,,57,2734,600,2611,1113,334,25,852,2,285,123,0.004169714704,11.4,2.501828822,10.88712509,4.640892465,1.392684711,0.1042428676,3.552596928,0.008339429407,1.188368691,0.5128749086
Census Tract 123.02,Redding,2,,22,3073,372,2928,1501,249,27,1007,10,134,145,0.001431825578,4.4,0.5326391149,4.192385291,2.149170192,0.3565245688,0.0386592906,1.441848357,0.01431825578,0.1918646274,0.2076147088
Census Tract 124.01,Tenderloin,1,1,180,5075,1852,4839,1830,529,62,1279,20,1119,236,0.007093596059,36,13.1373399,34.32591133,12.98128079,3.752512315,0.4398029557,9.07270936,0.1418719212,7.93773399,1.67408867
Census Tract 124.02,Tenderloin,2,,87,3974,777,3762,2031,424,40,907,9,351,212,0.00437845999,17.4,3.402063412,16.47176648,8.89265224,1.856467036,0.1751383996,3.971263211,0.03940613991,1.536839456,0.9282335179
Census Tract 125.01,Tenderloin,2,,166,5335,1022,5079,2233,923,75,1297,47,504,256,0.006223055295,33.2,6.359962512,31.60689784,13.89608247,5.743880037,0.4667291471,8.071302718,0.2924835989,3.136419869,1.593102156
Census Tract 125.02,Tenderloin,2,,64,3821,806,3638,1028,564,44,1551,31,420,183,0.003349908401,12.8,2.700026171,12.18696676,3.443705836,1.889348338,0.1473959696,5.19570793,0.1038471604,1.406961528,0.6130332374
Census Tract 126.01,Sherman,2,,38,2329,126,2254,1976,15,5,229,2,27,75,0.003263203091,7.6,0.4111635895,7.355259768,6.448089309,0.04894804637,0.01631601546,0.7472735079,0.006526406183,0.08810648347,0.2447402319
